FirstName, LastName, Email, Clarkson, SUNYPotsdam, SLU, Gender, Resturaunt, DateSubmitted
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:34"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:34"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:34"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:34"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:35"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:35"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:35"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:36"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:36"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:36"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:36"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:37"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:37"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:38"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:39"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:39"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:39"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:39"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:39"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:39"
jen,Magie,true,false,false,false,Female,"Hot Tomales","April 21 2014 12:20:55"
kl,kl,true,false,true,false,Male,"Hot Tomales","April 21 2014 13:13:06"
Sean,Sucks,true,false,false,false,Male,"Mama Lucias","April 21 2014 22:32:31"
